company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
General Assembly,16.0,4.0,,,Educational Services,Management,4.0,16.0,10.0,,,4.0
NWEA,8.0,52.0,,,Educational Services,Management,52.0,8.0,30.0,,,0.15384615384615385
Prince William County Public Schools,12.0,12.0,,,Educational Services,Management,12.0,12.0,12.0,,,1.0
Santa Fe Public Schools,4.0,36.0,,,Educational Services,Management,36.0,4.0,20.0,,,0.1111111111111111
Teachstone,2.0,12.0,,,Educational Services,Management,12.0,2.0,7.0,,,0.16666666666666666
The College Board,8.0,8.0,,,Educational Services,Management,8.0,8.0,8.0,,,1.0
"ACT, Inc",6.0,0.0,,,Educational Services,Other,0.0,6.0,3.0,,,
British Council,26.0,0.0,,,Educational Services,Other,0.0,26.0,13.0,,,
Pearson,8.5,8.0,,,Educational Services,Other,8.0,8.5,8.25,,,1.0625
Savvas Learning Company,3.0,12.0,,,Educational Services,Other,12.0,3.0,7.5,,,0.25
Texas A&M AgriLife Research,26.0,0.0,,,Educational Services,Other,0.0,26.0,13.0,,,
The Concord Consortium,8.0,0.0,,,Educational Services,Other,0.0,8.0,4.0,,,
KinderCare Learning Companies,6.0,0.0,,,Educational Services,Preschool,0.0,6.0,3.0,,,
Aperian Global,4.0,12.0,,,Educational Services,Professional Training,12.0,4.0,8.0,,,0.3333333333333333
Achievement First,42.0,14.0,,,Educational Services,School,14.0,42.0,28.0,,,3.0
Cobb County School District,6.0,12.0,,,Educational Services,School,12.0,6.0,9.0,,,0.5
Curtis Institute of Music,12.0,,12.0,,Educational Services,School,,12.0,12.0,0.0,,
Henderson Collegiate,9.0,3.0,,,Educational Services,School,3.0,9.0,6.0,,,3.0
Humble Independent School District,12.0,0.0,,,Educational Services,School,0.0,12.0,6.0,,,
IDEA Public Schools,6.0,6.0,,,Educational Services,School,6.0,6.0,6.0,,,1.0
Long Trail School,6.0,0.0,,,Educational Services,School,0.0,6.0,3.0,,,
San Francisco Unified School District,6.0,0.0,,,Educational Services,School,0.0,6.0,3.0,,,
The Meadowbrook School of Weston,12.0,0.0,,,Educational Services,School,0.0,12.0,6.0,,,
Creative Education Services,16.0,0.0,,,Educational Services,Tutoring,0.0,16.0,8.0,,,
Armada Technologies,2.0,10.0,,,Electronics,Manufacturing,10.0,2.0,6.0,,,0.2
Bose,12.0,12.0,,,Electronics,Manufacturing,12.0,12.0,12.0,,,1.0
Harman International Industries,12.0,0.0,,,Electronics,Manufacturing,0.0,12.0,6.0,,,
iRobot,15.0,0.0,,,Electronics,Manufacturing,0.0,15.0,7.5,,,
Keysight Technologies,8.0,52.0,,,Electronics,Manufacturing,52.0,8.0,30.0,,,0.15384615384615385
Legrand,12.0,2.0,,,Electronics,Manufacturing,2.0,12.0,7.0,,,6.0
Maxim Integrated Products,8.0,12.0,,,Electronics,Manufacturing,12.0,8.0,10.0,,,0.6666666666666666
Philips,8.0,4.0,,,Electronics,Manufacturing,4.0,8.0,6.0,,,2.0
Radar,12.0,0.0,,,Electronics,Manufacturing,0.0,12.0,6.0,,,
Sanmina,6.0,6.0,,,Electronics,Manufacturing,6.0,6.0,6.0,,,1.0
Trane Technologies,11.0,0.0,,,Electronics,Manufacturing,0.0,11.0,5.5,,,
Reprise,12.0,0.0,,,Engineering,,0.0,12.0,6.0,,,
Barclays,16.0,8.0,,,Finance,,8.0,16.0,12.0,,,2.0
Progressive Leasing,12.0,0.0,,,Finance,,0.0,12.0,6.0,,,
Acorns,12.0,2.0,,,Finance,Asset Management,2.0,12.0,7.0,,,6.0
AllianceBernstein LP,12.0,0.0,,,Finance,Asset Management,0.0,12.0,6.0,,,
American Century Investments,6.0,0.0,,,Finance,Asset Management,0.0,6.0,3.0,,,
American Endowment Foundation,0.0,12.0,,,Finance,Asset Management,12.0,0.0,6.0,,,0.0
BNY Mellon,16.0,8.0,,,Finance,Asset Management,8.0,16.0,12.0,,,2.0
Bridgewater Associates,11.0,29.0,,,Finance,Asset Management,29.0,11.0,20.0,,,0.3793103448275862
"Cantella & Co., Inc.",8.0,0.0,,,Finance,Asset Management,0.0,8.0,4.0,,,
Citadel,12.0,0.0,,,Finance,Asset Management,0.0,12.0,6.0,,,
Coller Capital Ltd.,6.0,12.0,,,Finance,Asset Management,12.0,6.0,9.0,,,0.5
DWS,16.0,52.0,,,Finance,Asset Management,52.0,16.0,34.0,,,0.3076923076923077
Fisher Investments,8.0,8.0,,,Finance,Asset Management,8.0,8.0,8.0,,,1.0
Gemini Trust Company,18.0,0.0,,,Finance,Asset Management,0.0,18.0,9.0,,,
Golub Capital,3.0,0.0,,,Finance,Asset Management,0.0,3.0,1.5,,,
Invesco,12.0,3.0,,,Finance,Asset Management,3.0,12.0,7.5,,,4.0
North Star Resource Group,6.0,6.0,,,Finance,Asset Management,6.0,6.0,6.0,,,1.0
The StepStone Group LP,16.0,4.0,,,Finance,Asset Management,4.0,16.0,10.0,,,4.0
TIAA,16.0,0.0,,,Finance,Asset Management,0.0,16.0,8.0,,,
TPG Capital,16.0,0.0,,,Finance,Asset Management,0.0,16.0,8.0,,,
Trinity Lifetime,39.0,13.0,,,Finance,Asset Management,13.0,39.0,26.0,,,3.0
Vanguard Group,10.0,0.0,,,Finance,Asset Management,0.0,10.0,5.0,,,
American Express,20.0,0.0,,,Finance,Credit and Fund Services,0.0,20.0,10.0,,,
American Honda Finance Corp,12.0,5.0,,,Finance,Credit and Fund Services,5.0,12.0,8.5,,,2.4
Navy Federal Credit Union,16.0,0.0,,,Finance,Credit Unions,0.0,16.0,8.0,,,
Achieve,4.0,8.0,,,Finance,Diversified,8.0,4.0,6.0,,,0.5
Andrew Davidson & Co,12.0,0.0,,,Finance,Diversified,0.0,12.0,6.0,,,
ASB Bank,26.0,26.0,,,Finance,Diversified,26.0,26.0,26.0,,,1.0
Bank of America,16.0,4.0,,,Finance,Diversified,4.0,16.0,10.0,,,4.0
BB&T Corporation,6.0,2.0,,,Finance,Diversified,2.0,6.0,4.0,,,3.0
BBVA,12.0,0.0,,,Finance,Diversified,0.0,12.0,6.0,,,
BNP Paribas,16.0,0.0,,,Finance,Diversified,0.0,16.0,8.0,,,
Capital One,18.0,0.0,,,Finance,Diversified,0.0,18.0,9.0,,,
CAPTRUST,2.0,14.0,,,Finance,Diversified,14.0,2.0,8.0,,,0.14285714285714285
CME Group,12.0,,4.0,,Finance,Diversified,,8.0,8.0,8.0,,
Computershare,7.0,3.5,,,Finance,Diversified,3.5,7.0,5.25,,,2.0
Credit Suisse,20.0,2.0,,,Finance,Diversified,2.0,20.0,11.0,,,10.0
Digistream Investigations,12.0,12.0,,,Finance,Diversified,12.0,12.0,12.0,,,1.0
Edward Jones,16.0,3.0,,,Finance,Diversified,3.0,16.0,9.5,,,5.333333333333333
Fidelity Investments,15.0,4.0,,,Finance,Diversified,4.0,15.0,9.5,,,3.75
First Citizens Bank,4.0,6.0,,,Finance,Diversified,6.0,4.0,5.0,,,0.6666666666666666
Geller & Company,12.0,0.0,,,Finance,Diversified,0.0,12.0,6.0,,,
HSBC,19.0,0.0,,,Finance,Diversified,0.0,19.0,9.5,,,
JMP Group LLC,12.0,0.0,,,Finance,Diversified,0.0,12.0,6.0,,,
JPMorgan Chase,12.5,0.0,,,Finance,Diversified,0.0,12.5,6.25,,,
Kasasa by BancVue,12.0,0.0,,,Finance,Diversified,0.0,12.0,6.0,,,
Lincoln Financial Group,10.0,12.0,,,Finance,Diversified,12.0,10.0,11.0,,,0.8333333333333334
Marsh McLennan,8.5,8.5,,,Finance,Diversified,8.5,8.5,8.5,,,1.0
Morgan Stanley,16.0,0.0,,,Finance,Diversified,0.0,16.0,8.0,,,
Nomura,16.0,,2.0,,Finance,Diversified,,9.0,9.0,14.0,,
Scotiabank,14.0,3.0,,,Finance,Diversified,3.0,14.0,8.5,,,4.666666666666667
Securian Financial Group Inc.,12.0,0.0,,,Finance,Diversified,0.0,12.0,6.0,,,
Standard Chartered,20.0,,2.0,,Finance,Diversified,,11.0,11.0,18.0,,
State Street Corporation,8.0,2.0,,,Finance,Diversified,2.0,8.0,5.0,,,4.0
Stifel Nicolaus & Co.,16.0,,8.0,,Finance,Diversified,,12.0,12.0,8.0,,
USAA,12.0,2.0,,,Finance,Diversified,2.0,12.0,7.0,,,6.0
Northwestern Mutual Ð Corporate Careers,12.0,1.0,,,Finance,Life,1.0,12.0,6.5,,,12.0
Better Mortgage,16.5,13.0,,,Finance,Loans,13.0,16.5,14.75,,,1.2692307692307692
OneMain Financial,8.0,0.0,,,Finance,Loans,0.0,8.0,4.0,,,
Quicken Loans Inc.,6.0,1.5,,,Finance,Loans,1.5,6.0,3.75,,,4.0
Veterans United Home Loans,8.0,0.0,,,Finance,Loans,0.0,8.0,4.0,,,
ANZ,12.0,52.0,,,Finance,Personal and Commercial Banking,52.0,12.0,32.0,,,0.23076923076923078
Bank of the West,16.0,12.0,,,Finance,Personal and Commercial Banking,12.0,16.0,14.0,,,1.3333333333333333
BMO Harris Bank,12.0,12.0,,,Finance,Personal and Commercial Banking,12.0,12.0,12.0,,,1.0
CIT,20.0,8.0,,,Finance,Personal and Commercial Banking,8.0,20.0,14.0,,,2.5
Citizens Bank,12.0,0.0,,,Finance,Personal and Commercial Banking,0.0,12.0,6.0,,,
Commonwealth Bank of Australia,12.0,52.0,,,Finance,Personal and Commercial Banking,52.0,12.0,32.0,,,0.23076923076923078
Federal Home Loan Bank Of New York,12.0,0.0,,,Finance,Personal and Commercial Banking,0.0,12.0,6.0,,,
Fifth Third Bank,9.0,6.0,,,Finance,Personal and Commercial Banking,6.0,9.0,7.5,,,1.5
First Republic Bank,12.0,0.0,,,Finance,Personal and Commercial Banking,0.0,12.0,6.0,,,
Huntington Bank,4.0,8.0,,,Finance,Personal and Commercial Banking,8.0,4.0,6.0,,,0.5
KeyBank,12.0,6.0,,,Finance,Personal and Commercial Banking,6.0,12.0,9.0,,,2.0
M&T Bank Corporation,12.0,12.0,,,Finance,Personal and Commercial Banking,12.0,12.0,12.0,,,1.0
Santander US,6.0,6.0,,,Finance,Personal and Commercial Banking,6.0,6.0,6.0,,,1.0
SociŽtŽ GŽnŽrale,12.0,0.0,,,Finance,Personal and Commercial Banking,0.0,12.0,6.0,,,
Stanbic IBTC Bank,12.0,4.0,,,Finance,Personal and Commercial Banking,4.0,12.0,8.0,,,3.0
SunTrust Banks,16.0,4.0,,,Finance,Personal and Commercial Banking,4.0,16.0,10.0,,,4.0
U.S. Bank,13.0,0.0,,,Finance,Personal and Commercial Banking,0.0,13.0,6.5,,,
Union Bank,21.0,8.0,,,Finance,Personal and Commercial Banking,8.0,21.0,14.5,,,2.625
Vanquis Bank,20.0,26.0,,,Finance,Personal and Commercial Banking,26.0,20.0,23.0,,,0.7692307692307693
Wintrust Financial Corporation,10.0,2.0,,,Finance,Personal and Commercial Banking,2.0,10.0,6.0,,,5.0
"Adams Street Partners, LLC",12.0,2.0,,,Finance,Venture Capital,2.0,12.0,7.0,,,6.0
"Guggenheim Partners, LLC",18.0,,18.0,,Finance,Venture Capital,,18.0,18.0,0.0,,
City of Virginia Beach,6.0,0.0,,,Government,City,0.0,6.0,3.0,,,
New York City,12.0,4.0,,,Government,City,4.0,12.0,8.0,,,3.0
New York City Economic Development Corporation,6.0,1.0,,,Government,City,1.0,6.0,3.5,,,6.0
The City of Portland,6.0,6.0,,,Government,City,6.0,6.0,6.0,,,1.0
The City of San Antonio,6.0,6.0,,,Government,City,6.0,6.0,6.0,,,1.0
Peraton,1.5,12.0,,,Government,Contractor,12.0,1.5,6.75,,,0.125
Marion County Sheriff's Office,13.0,20.0,,,Government,County,20.0,13.0,16.5,,,0.65
"Multnomah County, Oregon",12.0,0.0,,,Government,County,0.0,12.0,6.0,,,
Spokane County,52.0,26.0,,,Government,County,26.0,52.0,39.0,,,2.0
Corporation for National and Community Service,0.0,0.0,,,Government,Federal,0.0,0.0,0.0,,,
Federal Deposit Insurance Corporation,12.0,12.0,,,Government,Federal,12.0,12.0,12.0,,,1.0
Federal Public Defender,12.0,0.0,,,Government,Federal,0.0,12.0,6.0,,,
Federal Reserve Bank of New York,8.0,8.0,,,Government,Federal,8.0,8.0,8.0,,,1.0
Los Alamos National Laboratory,3.0,12.0,,,Government,Federal,12.0,3.0,7.5,,,0.25
NASA Jet Propulsion Laboratory,12.0,0.0,,,Government,Federal,0.0,12.0,6.0,,,
Naval Medical Center Portsmouth,46.0,0.0,,,Government,Federal,0.0,46.0,23.0,,,
NavSea,11.0,6.0,,,Government,Federal,6.0,11.0,8.5,,,1.8333333333333333
NSA,8.0,6.5,,,Government,Federal,6.5,8.0,7.25,,,1.2307692307692308
The United States Air Force,12.0,0.0,,,Government,Federal,0.0,12.0,6.0,,,
U.S. Department of Education,0.0,12.0,,,Government,Federal,12.0,0.0,6.0,,,0.0
U.S. Department of Veterans Affairs,11.0,11.0,,,Government,Federal,11.0,11.0,11.0,,,1.0
U.S. Social Security Administration,6.0,12.0,,,Government,Federal,12.0,6.0,9.0,,,0.5
United States Army,6.0,0.0,,,Government,Federal,0.0,6.0,3.0,,,
United States Department of State,9.0,15.0,,,Government,Federal,15.0,9.0,12.0,,,0.6
United States Trade and Development Agency,12.0,0.0,,,Government,Federal,0.0,12.0,6.0,,,
USAID,6.0,0.0,,,Government,Federal,0.0,6.0,3.0,,,
United Nations,4.0,0.0,,,Government,International,0.0,4.0,2.0,,,
World Health Organization,24.0,52.0,,,Government,International,52.0,24.0,38.0,,,0.46153846153846156
Commonwealth of Massachusetts,2.0,24.0,,,Government,State,24.0,2.0,13.0,,,0.08333333333333333
DBPR,12.0,0.0,,,Government,State,0.0,12.0,6.0,,,
State of North Carolina,12.0,0.0,,,Government,State,0.0,12.0,6.0,,,
Companion Animal Hospital Partners,6.0,6.0,,,Healthcare,Animal Health,6.0,6.0,6.0,,,1.0
Veterinary Emergency Group,6.0,6.0,,,Healthcare,Animal Health,6.0,6.0,6.0,,,1.0
Zoetis,2.0,0.0,,,Healthcare,Animal Health,0.0,2.0,1.0,,,
Beacon Health Options,4.0,6.0,,,Healthcare,Behavioral,6.0,4.0,5.0,,,0.6666666666666666
Ambry Genetics,6.0,0.0,,,Healthcare,Biotechnology,0.0,6.0,3.0,,,
Biogen,12.0,6.0,,,Healthcare,Biotechnology,6.0,12.0,9.0,,,2.0
bioMerieux,12.0,0.0,,,Healthcare,Biotechnology,0.0,12.0,6.0,,,
Bolt Threads,12.0,0.0,,,Healthcare,Biotechnology,0.0,12.0,6.0,,,
Charles River Laboratories,9.0,3.0,,,Healthcare,Biotechnology,3.0,9.0,6.0,,,3.0
Genentech,12.0,0.0,,,Healthcare,Biotechnology,0.0,12.0,6.0,,,
"Gilead Sciences, Inc.",12.0,6.0,,,Healthcare,Biotechnology,6.0,12.0,9.0,,,2.0
Idexx Laboratories,12.0,8.0,,,Healthcare,Biotechnology,8.0,12.0,10.0,,,1.5
NanoString Technologies,12.0,0.0,,,Healthcare,Biotechnology,0.0,12.0,6.0,,,
Nova Biomedical,6.0,6.0,,,Healthcare,Biotechnology,6.0,6.0,6.0,,,1.0
Novozymes,17.0,0.0,,,Healthcare,Biotechnology,0.0,17.0,8.5,,,
Promega Corporation,4.0,0.0,,,Healthcare,Biotechnology,0.0,4.0,2.0,,,
SCIEX,15.0,26.0,,,Healthcare,Biotechnology,26.0,15.0,20.5,,,0.5769230769230769
Bupa,14.0,36.0,,,Healthcare,Diversified,36.0,14.0,25.0,,,0.3888888888888889
Call9,8.0,4.0,,,Healthcare,Diversified,4.0,8.0,6.0,,,2.0
Saint Francis Medical Center,6.0,0.0,,,Healthcare,Diversified,0.0,6.0,3.0,,,
BAYADA,0.0,,0.0,,Healthcare,Family Care,,0.0,0.0,0.0,,
Inspire Wellness,12.0,6.0,,,Healthcare,Family Care,6.0,12.0,9.0,,,2.0
Landmark Health,4.0,8.0,,,Healthcare,Family Care,8.0,4.0,6.0,,,0.5
Southwest Idaho Treatment Center,12.0,0.0,,,Healthcare,Family Care,0.0,12.0,6.0,,,
Ascension Health,8.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,8.0,4.0,,,
Baptist Health System,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
Bon Secours Mercy Health,8.0,8.0,,,Healthcare,Hospitals and Clinics,8.0,8.0,8.0,,,1.0
Central Maine Medical Center,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
Children's Hospital of Pittsburgh of UPMC,2.0,10.0,,,Healthcare,Hospitals and Clinics,10.0,2.0,6.0,,,0.2
Children's Wisconsin,0.0,12.0,,,Healthcare,Hospitals and Clinics,12.0,0.0,6.0,,,0.0
Christiana Care Health System,6.0,6.0,,,Healthcare,Hospitals and Clinics,6.0,6.0,6.0,,,1.0
Cincinnati Children's Hospital Medical Center,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
Duke Health,6.0,6.0,,,Healthcare,Hospitals and Clinics,6.0,6.0,6.0,,,1.0
Everett Clinic,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
Houston Methodist Hospital,6.0,6.0,,,Healthcare,Hospitals and Clinics,6.0,6.0,6.0,,,1.0
Johns Hopkins All Children's Hospital,8.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,8.0,4.0,,,
Lovelace Health System,0.0,6.0,,,Healthcare,Hospitals and Clinics,6.0,0.0,3.0,,,0.0
Mercy,4.0,1.0,,,Healthcare,Hospitals and Clinics,1.0,4.0,2.5,,,4.0
MetroHealth Medical Center,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
Michigan Medicine,6.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,6.0,3.0,,,
Molina Healthcare,6.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,6.0,3.0,,,
Montefiore Medical Center,0.0,,0.0,,Healthcare,Hospitals and Clinics,,0.0,0.0,0.0,,
Moses Cone,0.0,,,0.0,Healthcare,Hospitals and Clinics,0.0,0.0,0.0,,,
New Century Health,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
New York State Psychiatric Institute,12.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,12.0,6.0,,,
Northwell Health,0.0,12.0,,,Healthcare,Hospitals and Clinics,12.0,0.0,6.0,,,0.0
NYU Langone Health,9.5,6.0,,,Healthcare,Hospitals and Clinics,6.0,9.5,7.75,,,1.5833333333333333
Partners Healthcare,8.0,4.0,,,Healthcare,Hospitals and Clinics,4.0,8.0,6.0,,,2.0
Penn Medicine,6.0,6.0,,,Healthcare,Hospitals and Clinics,6.0,6.0,6.0,,,1.0
Providence,8.0,12.0,,,Healthcare,Hospitals and Clinics,12.0,8.0,10.0,,,0.6666666666666666
Temple University Hospital,0.0,12.0,,,Healthcare,Hospitals and Clinics,12.0,0.0,6.0,,,0.0
Texas Children's Hospital,0.0,0.0,,,Healthcare,Hospitals and Clinics,0.0,0.0,0.0,,,
LabCorp,6.0,12.0,,,Healthcare,Laboratory Testing,12.0,6.0,9.0,,,0.5
Aeroflow Healthcare,6.0,4.0,,,Healthcare,Medical Devices,4.0,6.0,5.0,,,1.5
Aquilant,39.0,13.0,,,Healthcare,Medical Devices,13.0,39.0,26.0,,,3.0
BD,12.0,4.0,,,Healthcare,Medical Devices,4.0,12.0,8.0,,,3.0
Boston Scientific,12.0,0.0,,,Healthcare,Medical Devices,0.0,12.0,6.0,,,
Cook Medical,10.0,6.0,,,Healthcare,Medical Devices,6.0,10.0,8.0,,,1.6666666666666667
Hillrom,12.0,4.0,,,Healthcare,Medical Devices,4.0,12.0,8.0,,,3.0
Integra LifeSciences,10.0,12.0,,,Healthcare,Medical Devices,12.0,10.0,11.0,,,0.8333333333333334
Intuitive,6.0,6.0,,,Healthcare,Medical Devices,6.0,6.0,6.0,,,1.0
Medela,12.0,0.0,,,Healthcare,Medical Devices,0.0,12.0,6.0,,,
MicroPort Orthopedics,6.0,10.0,,,Healthcare,Medical Devices,10.0,6.0,8.0,,,0.6
Olympus Corporation,4.0,1.0,,,Healthcare,Medical Devices,1.0,4.0,2.5,,,4.0
ResMed,14.0,0.0,,,Healthcare,Medical Devices,0.0,14.0,7.0,,,
Stryker Corporation,12.0,2.0,,,Healthcare,Medical Devices,2.0,12.0,7.0,,,6.0
Terumo BCT,9.0,18.0,,,Healthcare,Medical Devices,18.0,9.0,13.5,,,0.5
J&J MedTech,8.0,0.0,,,Healthcare,Products,0.0,8.0,4.0,,,
SmileDirectClub,8.0,4.0,,,Healthcare,Products,4.0,8.0,6.0,,,2.0
Be The Match,6.0,6.0,,,Healthcare,Services,6.0,6.0,6.0,,,1.0
Cardinal Health,4.0,9.0,,,Healthcare,Services,9.0,4.0,6.5,,,0.4444444444444444
GE Healthcare Systems,12.0,4.0,,,Healthcare,Services,4.0,12.0,8.0,,,3.0
Heartland Dental,6.0,12.0,,,Healthcare,Services,12.0,6.0,9.0,,,0.5
Lumeris,6.0,0.0,,,Healthcare,Services,0.0,6.0,3.0,,,
McKesson Specialty Health,12.0,4.0,,,Healthcare,Services,4.0,12.0,8.0,,,3.0
Optum,8.0,3.0,,,Healthcare,Services,3.0,8.0,5.5,,,2.6666666666666665
Spectra,12.0,12.0,,,Hospitality,,12.0,12.0,12.0,,,1.0
Gordon Food Service,1.0,0.0,,,Hospitality,Foodservice Distributors,0.0,1.0,0.5,,,
Hilton,12.0,6.0,,,Hospitality,Hotels,6.0,12.0,9.0,,,2.0
Hyatt,8.0,0.0,,,Hospitality,Hotels,0.0,8.0,4.0,,,
Rosewood Hotels & Resorts,2.0,0.0,,,Hospitality,Hotels,0.0,2.0,1.0,,,
Taj Hotels,12.0,26.0,,,Hospitality,Hotels,26.0,12.0,19.0,,,0.46153846153846156
Blue Apron,12.0,0.0,,,Hospitality,Meal Kit Delivery,0.0,12.0,6.0,,,
Disneyland,8.0,0.0,,,Hospitality,Resorts,0.0,8.0,4.0,,,
Great Wolf Resorts,8.0,0.0,,,Hospitality,Resorts,0.0,8.0,4.0,,,
Hilton Grand Vacations,8.0,8.0,,,Hospitality,Resorts,8.0,8.0,8.0,,,1.0
Vail Resorts,4.0,2.0,,,Hospitality,Resorts,2.0,4.0,3.0,,,2.0
Chick-fil-A,6.0,,2.0,,Hospitality,Restaurants,,4.0,4.0,4.0,,
Chipotle Mexican Grill,12.0,0.0,,,Hospitality,Restaurants,0.0,12.0,6.0,,,
Gate Gourmet,6.0,12.0,,,Hospitality,Restaurants,12.0,6.0,9.0,,,0.5
La Colombe Torrefaction,6.0,30.0,,,Hospitality,Restaurants,30.0,6.0,18.0,,,0.2
Momofuku,4.0,8.0,,,Hospitality,Restaurants,8.0,4.0,6.0,,,0.5
Red Robin,0.0,12.0,,,Hospitality,Restaurants,12.0,0.0,6.0,,,0.0
Restaurant Brands International,16.0,0.0,,,Hospitality,Restaurants,0.0,16.0,8.0,,,
Texas Roadhouse,6.0,11.0,,,Hospitality,Restaurants,11.0,6.0,8.5,,,0.5454545454545454
Ergotron,12.0,6.0,,,Industrial,Appliances and Furniture,6.0,12.0,9.0,,,2.0
Stanley Black & Decker,2.0,16.0,,,Industrial,Appliances and Furniture,16.0,2.0,9.0,,,0.125
Steelcase,10.5,27.5,,,Industrial,Appliances and Furniture,27.5,10.5,19.0,,,0.38181818181818183
Whirlpool Corporation,12.0,4.0,,,Industrial,Appliances and Furniture,4.0,12.0,8.0,,,3.0
Deborah Berke Partners,6.0,4.0,,,Industrial,Architecture and Design,4.0,6.0,5.0,,,1.5
Grimshaw Architects,5.0,10.0,,,Industrial,Architecture and Design,10.0,5.0,7.5,,,0.5
Hickok Cole Architects,12.0,8.0,,,Industrial,Architecture and Design,8.0,12.0,10.0,,,1.5
HOK,6.0,,2.0,,Industrial,Architecture and Design,,4.0,4.0,4.0,,
MG2,6.0,6.0,,,Industrial,Architecture and Design,6.0,6.0,6.0,,,1.0
CertainTeed,12.0,12.0,,,Industrial,Building Materials Manufacturing,12.0,12.0,12.0,,,1.0
Construction Specialties,6.0,12.0,,,Industrial,Building Materials Manufacturing,12.0,6.0,9.0,,,0.5
Daltile,0.0,12.0,,,Industrial,Building Materials Manufacturing,12.0,0.0,6.0,,,0.0
GAF,6.0,12.0,,,Industrial,Building Materials Manufacturing,12.0,6.0,9.0,,,0.5
Lehigh Hanson,6.0,6.0,,,Industrial,Building Materials Manufacturing,6.0,6.0,6.0,,,1.0
Sherwin-Williams,8.0,4.0,,,Industrial,Building Materials Manufacturing,4.0,8.0,6.0,,,2.0
Wilsonart,6.0,12.0,,,Industrial,Building Materials Manufacturing,12.0,6.0,9.0,,,0.5
Graham Construction & Engineering Inc,12.0,52.0,,,Industrial,Construction Company,52.0,12.0,32.0,,,0.23076923076923078
"CIRCOR International, Inc.",12.0,12.0,,,Industrial,Diversified,12.0,12.0,12.0,,,1.0
Danaher,8.0,6.0,,,Industrial,Diversified,6.0,8.0,7.0,,,1.3333333333333333
Eaton,12.0,0.0,,,Industrial,Diversified,0.0,12.0,6.0,,,
Faith Technologies,8.0,4.0,,,Industrial,Diversified,4.0,8.0,6.0,,,2.0
HDR,2.0,8.0,,,Industrial,Diversified,8.0,2.0,5.0,,,0.25
Honeywell,4.0,12.0,,,Industrial,Diversified,12.0,4.0,8.0,,,0.3333333333333333
Jacobs,1.0,8.0,,,Industrial,Diversified,8.0,1.0,4.5,,,0.125
Jason Industrial,12.0,0.0,,,Industrial,Diversified,0.0,12.0,6.0,,,
Babcock International Group,12.0,0.0,,,Industrial,Engineering,0.0,12.0,6.0,,,
Emerson Process Management,12.0,0.0,,,Industrial,Engineering,0.0,12.0,6.0,,,
Equinor,16.0,2.0,,,Industrial,Engineering,2.0,16.0,9.0,,,8.0
GZA,4.0,0.0,,,Industrial,Engineering,0.0,4.0,2.0,,,
Pfaudler inc,10.0,0.0,,,Industrial,Engineering,0.0,10.0,5.0,,,
Quiddity Engineering,2.0,6.0,,,Industrial,Engineering,6.0,2.0,4.0,,,0.3333333333333333
Stantec,6.0,12.0,,,Industrial,Engineering,12.0,6.0,9.0,,,0.5
Subsea 7,12.0,0.0,,,Industrial,Engineering,0.0,12.0,6.0,,,
WSP Global,2.0,12.0,,,Industrial,Engineering,12.0,2.0,7.0,,,0.16666666666666666
Xylem Inc.,4.0,0.0,,,Industrial,Engineering,0.0,4.0,2.0,,,
AGCO Corporation,6.0,6.0,,,Industrial,Equipment Manufacturing,6.0,6.0,6.0,,,1.0
Association of Equipment Manufacturers,6.0,6.0,,,Industrial,Equipment Manufacturing,6.0,6.0,6.0,,,1.0
"Atlantic Diving Supply, Inc.",6.0,6.0,,,Industrial,Equipment Manufacturing,6.0,6.0,6.0,,,1.0
Emerson Climate Technologies,12.0,,2.0,,Industrial,Equipment Manufacturing,,7.0,7.0,10.0,,
Genie Industries,12.0,12.0,,,Industrial,Equipment Manufacturing,12.0,12.0,12.0,,,1.0
ITW,7.0,0.0,,,Industrial,Equipment Manufacturing,0.0,7.0,3.5,,,
KONE Corporation,9.0,0.0,,,Industrial,Equipment Manufacturing,0.0,9.0,4.5,,,
Terex,10.0,2.0,,,Industrial,Equipment Manufacturing,2.0,10.0,6.0,,,5.0
Weir ESCO,1.0,12.0,,,Industrial,Equipment Manufacturing,12.0,1.0,6.5,,,0.08333333333333333
Zoox,12.0,0.0,,,Industrial,Equipment Manufacturing,0.0,12.0,6.0,,,
"Aleris International, Inc.",4.0,0.0,,,Industrial,Materials,0.0,4.0,2.0,,,
