company,paid_maternity_leave,unpaid_maternity_leave,paid_paternity_leave,unpaid_paternity_leave,main_industry,sub_industry,avg_unpaid_leave,avg_paid_leave,avg_leave,paid_leave_discrepancy,unpaid_leave_discrepancy,paid_to_unpaid_leave_ratio
Mercedes-Benz Research & Development North America,24.0,0.0,,,Automotive,Manufacturers,0.0,24.0,12.0,,,
Advance Auto Parts,8.0,4.0,,,Automotive,Parts,4.0,8.0,6.0,,,2.0
Bendix Commercial Vehicle Systems,6.0,0.0,,,Automotive,Parts Manufacturing,0.0,6.0,3.0,,,
Bridgestone Corporation,8.0,0.0,,,Automotive,Parts Manufacturing,0.0,8.0,4.0,,,
Continental,4.0,4.0,,,Automotive,Parts Manufacturing,4.0,4.0,4.0,,,1.0
"Donaldson Company, Inc.",0.0,12.0,,,Automotive,Parts Manufacturing,12.0,0.0,6.0,,,0.0
Michelin,12.0,0.0,,,Automotive,Parts Manufacturing,0.0,12.0,6.0,,,
Valvoline,4.0,0.0,,,Automotive,Products and Services,0.0,4.0,2.0,,,
Aramark,2.0,10.0,,,Business Services,Food and Hospitality,10.0,2.0,6.0,,,0.2
Cintas Corporation,12.0,12.0,,,Business Services,Food and Hospitality,12.0,12.0,12.0,,,1.0
ADP Canada Inc,26.0,4.0,,,Business Services,Human Resources,4.0,26.0,15.0,,,6.5
ADP India,25.0,25.0,,,Business Services,Human Resources,25.0,25.0,25.0,,,1.0
ADP Philippines,6.5,0.0,,,Business Services,Human Resources,0.0,6.5,3.25,,,
ADP UK,36.0,12.0,,,Business Services,Human Resources,12.0,36.0,24.0,,,3.0
ACA Compliance Group,4.0,8.0,,,Business Services,Other,8.0,4.0,6.0,,,0.5
"BDO USA, LLP",9.0,3.0,,,Business Services,Other,3.0,9.0,6.0,,,3.0
Brabo Payroll,13.0,13.0,,,Business Services,Other,13.0,13.0,13.0,,,1.0
Cardlytics,12.0,0.0,,,Business Services,Other,0.0,12.0,6.0,,,
Cians Analytics,26.0,26.0,,,Business Services,Other,26.0,26.0,26.0,,,1.0
CoStar Group,6.0,6.0,,,Business Services,Other,6.0,6.0,6.0,,,1.0
Deluxe Corporation,8.0,0.0,,,Business Services,Other,0.0,8.0,4.0,,,
EveryDay Labs,12.0,0.0,,,Business Services,Other,0.0,12.0,6.0,,,
Flexport,16.0,0.0,,,Business Services,Other,0.0,16.0,8.0,,,
LexisNexis Risk Solutions Group,6.0,6.0,,,Business Services,Other,6.0,6.0,6.0,,,1.0
LGC Standards,12.0,0.0,,,Business Services,Other,0.0,12.0,6.0,,,
"LOTH, Inc.",10.0,0.0,,,Business Services,Other,0.0,10.0,5.0,,,
MIC Global Services,6.0,12.0,,,Business Services,Other,12.0,6.0,9.0,,,0.5
Moody's Analytics,12.0,0.0,,,Business Services,Other,0.0,12.0,6.0,,,
Nuclear Energy Institute,12.0,0.0,,,Business Services,Other,0.0,12.0,6.0,,,
SmithBucklin,2.0,10.0,,,Business Services,Other,10.0,2.0,6.0,,,0.2
The Larkin Company,12.0,12.0,,,Business Services,Other,12.0,12.0,12.0,,,1.0
Ticketmaster,23.0,12.0,,,Business Services,Other,12.0,23.0,17.5,,,1.9166666666666667
UL LLC,13.5,15.5,,,Business Services,Other,15.5,13.5,14.5,,,0.8709677419354839
United States Chamber of Commerce,8.0,12.0,,,Business Services,Other,12.0,8.0,10.0,,,0.6666666666666666
247 Private Security,0.0,0.0,,,Business Services,Security,0.0,0.0,0.0,,,
Allied Universal,5.0,21.0,,,Business Services,Security,21.0,5.0,13.0,,,0.23809523809523808
Vivint,6.0,6.0,,,Business Services,Security,6.0,6.0,6.0,,,1.0
24-7 Intouch,0.0,,0.0,,Business Services,Staffing and Outsourcing,,0.0,0.0,0.0,,
"Aerotek, Inc.",7.0,10.0,,,Business Services,Staffing and Outsourcing,10.0,7.0,8.5,,,0.7
Beetroot,6.0,52.0,,,Business Services,Staffing and Outsourcing,52.0,6.0,29.0,,,0.11538461538461539
Caastle,12.0,4.0,,,Business Services,Staffing and Outsourcing,4.0,12.0,8.0,,,3.0
Concurrent HRO,2.0,2.0,,,Business Services,Staffing and Outsourcing,2.0,2.0,2.0,,,1.0
Cyberbacker PH,5.0,2.0,,,Business Services,Staffing and Outsourcing,2.0,5.0,3.5,,,2.5
Daversa Partners,12.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,12.0,6.0,,,
Hays,4.0,8.0,,,Business Services,Staffing and Outsourcing,8.0,4.0,6.0,,,0.5
Kforce,1.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,1.0,0.5,,,
Manpower,20.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,20.0,10.0,,,
Marketsource,1.0,11.0,,,Business Services,Staffing and Outsourcing,11.0,1.0,6.0,,,0.09090909090909091
MarketStar,6.0,6.0,,,Business Services,Staffing and Outsourcing,6.0,6.0,6.0,,,1.0
Maxim Healthcare Services,5.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,5.0,2.5,,,
nFuzion,4.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,4.0,2.0,,,
Norwin Technologies,2.0,0.0,,,Business Services,Staffing and Outsourcing,0.0,2.0,1.0,,,
Populus Group,12.0,12.0,,,Business Services,Staffing and Outsourcing,12.0,12.0,12.0,,,1.0
Randstad Sourceright,39.0,13.0,,,Business Services,Staffing and Outsourcing,13.0,39.0,26.0,,,3.0
Recruitics,9.0,4.0,,,Business Services,Staffing and Outsourcing,4.0,9.0,6.5,,,2.25
